,Location Name,Part Name,Received Date,Kitting Boxing Date,CycleCount,Serial Number,Parameter,DC_Status,Lower Limit,Measurement MIN,Measurement MAX,Measurement AVG,Upper Limit
0,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,CDI - Flatness,Pass,0.0,0.0009,0.0009,0.0009,0.002
1,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6316,17.6316,17.6316,17.656
2,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3454,0.3454,0.3454,0.364
3,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1384,0.1384,0.1384,0.141
4,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,CDI - Miscellaneous- Distance,Pass,0.572,0.5822,0.5822,0.5822,0.592
5,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,Surface Roughness- Post Blast,Pass,200.0,249.9,260.3,256.1,300.0
6,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,Inner Honey Comb Ra (L1 - L6),Pass,0.0,74.6,115.5,92.55,1000.0
7,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,"UV Inspection 1=Pass, 0=Fail",Pass,0.0,1.0,1.0,1.0,1.0
8,Location 1,Part 1,12/23/2014 6:03:48 PM,1/15/2015 1:19:22 PM,1,SN1,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0.0,0.0,0.0,0.0,1.0
9,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,Incoming Weight,Pass,15.0,30.4,30.4,30.4,50.0
10,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,Post Strip Weight,Pass,15.0,19.8,19.8,19.8,50.0
11,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,CDI - Flatness,Pass,0.0,0.001,0.001,0.001,0.002
12,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.632,17.632,17.632,17.656
13,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3452,0.3452,0.3452,0.364
14,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1393,0.1393,0.1393,0.141
15,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,CDI - Miscellaneous- Distance,Pass,0.572,0.583,0.583,0.583,0.592
16,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,Surface Roughness- Post Blast,Pass,200.0,237.3,253.6,245.525,300.0
17,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,Inner Honey Comb Ra (L1 - L6),Pass,0.0,52.0,127.0,75.0,1000.0
18,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,"UV Inspection 1=Pass, 0=Fail",Pass,0.0,1.0,1.0,1.0,1.0
19,Location 1,Part 1,02/10/2015 3:42,2/23/2015 2:26:40 PM,2,SN1,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0.0,0.0,0.0,0.0,1.0
20,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,Incoming Weight,Pass,15.0,30.0,30.0,30.0,50.0
21,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,Post Strip Weight,Pass,15.0,19.8,19.8,19.8,50.0
22,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,CDI - Flatness,Pass,0.0,0.0009,0.0009,0.0009,0.002
23,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6334,17.6334,17.6334,17.656
24,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3441,0.3441,0.3441,0.364
25,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,CDI - Avg Wall Cell Thickness,Pass,0.126,0.139,0.139,0.139,0.141
26,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,CDI - Miscellaneous- Distance,Pass,0.572,0.5831,0.5831,0.5831,0.592
27,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,Surface Roughness- Post Blast,Pass,200.0,225.2,242.7,235.375,300.0
28,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,Inner Honey Comb Ra (L1 - L6),Pass,0.0,82.8,97.8,92.85,1000.0
29,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,"UV Inspection 1=Pass, 0=Fail",Pass,0.0,1.0,1.0,1.0,1.0
30,Location 1,Part 1,5/26/2015 11:18:21 PM,06/03/2015 13:13,3,SN1,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0.0,0.0,0.0,0.0,1.0
31,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,Incoming Weight,Pass,15.0,30.8,30.8,30.8,50.0
32,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,Post Strip Weight,Pass,15.0,19.8,19.8,19.8,50.0
33,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,CDI - Flatness,Pass,0.0,0.001,0.001,0.001,0.002
34,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6341,17.6341,17.6341,17.656
35,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3439,0.3439,0.3439,0.364
36,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,CDI - Avg Wall Cell Thickness,Pass,0.126,0.139,0.139,0.139,0.141
37,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,CDI - Miscellaneous- Distance,Pass,0.572,0.5839,0.5839,0.5839,0.592
38,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,Surface Roughness- Post Blast,Pass,200.0,250.7,282.0,265.25,300.0
39,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,Inner Honey Comb Ra (L1 - L6),Pass,0.0,56.7,95.4,71.63333333,1000.0
40,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,"UV Inspection 1=Pass, 0=Fail",Pass,0.0,1.0,1.0,1.0,1.0
41,Location 1,Part 1,07/09/2015 0:31,7/13/2015 3:32:37 PM,4,SN1,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0.0,0.0,0.0,0.0,1.0
42,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,Incoming Weight,Pass,15.0,29.5,29.5,29.5,50.0
43,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,Post Strip Weight,Pass,15.0,19.6,19.6,19.6,50.0
44,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,CDI - Flatness,Pass,0.0,0.0011,0.0011,0.0011,0.002
45,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6349,17.6349,17.6349,17.656
46,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,CDI - Upper Lip Radial Thickness,Pass,0.326,0.343,0.343,0.343,0.364
47,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1379,0.1379,0.1379,0.141
48,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,CDI - Miscellaneous- Distance,Pass,0.572,0.584,0.584,0.584,0.592
49,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,Surface Roughness- Post Blast,Pass,200.0,249.0,285.0,270.25,300.0
50,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,Inner Honey Comb Ra (L1 - L6),Pass,0.0,74.2,110.5,92.21666667,1000.0
51,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,"UV Inspection 1=Pass, 0=Fail",Pass,0.0,1.0,1.0,1.0,1.0
52,Location 1,Part 1,08/06/2015 1:19,08/10/2015 15:27,5,SN1,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0.0,0.0,0.0,0.0,1.0
53,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,Incoming Weight,Pass,15.0,29.0,29.0,29.0,50.0
54,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,Post Strip Weight,Pass,15.0,25.0,25.0,25.0,50.0
55,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,CDI - Flatness,Pass,0.0,0.001,0.001,0.001,0.002
56,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6349,17.6349,17.6349,17.656
57,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3434,0.3434,0.3434,0.364
58,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1381,0.1381,0.1381,0.141
59,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,CDI - Miscellaneous- Distance,Pass,0.572,0.5837,0.5837,0.5837,0.592
60,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,Surface Roughness- Post Blast,Pass,200.0,228.0,244.0,237.0,300.0
61,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,Inner Honey Comb Ra (L1 - L6),Pass,0.0,147.0,215.0,186.5,1000.0
62,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,"UV Inspection 1=Pass, 0=Fail",Pass,0.0,1.0,1.0,1.0,1.0
63,Location 1,Part 1,09/04/2015 20:37,9/14/2015 2:01:47 PM,6,SN1,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0.0,0.0,0.0,0.0,1.0
64,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,Incoming Weight,Pass,15.0,29.2,29.2,29.2,50.0
65,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,Post Strip Weight,Pass,15.0,19.8,19.8,19.8,50.0
66,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,CDI - Flatness,Pass,0.0,0.0008,0.0008,0.0008,0.002
67,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6315,17.6315,17.6315,17.656
68,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3353,0.3353,0.3353,0.364
69,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1374,0.1374,0.1374,0.141
70,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,CDI - Miscellaneous- Distance,Pass,0.572,0.5822,0.5822,0.5822,0.592
71,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,Surface Roughness- Post Blast,Pass,200.0,246.6,276.7,265.275,300.0
72,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,Inner Honey Comb Ra (L1 - L6),Pass,0.0,188.9,389.4,317.05,1000.0
73,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,"UV Inspection 1=Pass, 0=Fail",Pass,0.0,1.0,1.0,1.0,1.0
74,Location 1,Part 1,10/09/2015 21:12,10/23/2015 3:16:42 PM,7,SN1,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0.0,0.0,0.0,0.0,1.0
75,Location 1,Part 1,11/11/2015 23:51,11/18/2015 12:17:10 PM,8,SN1,Incoming Weight,Pass,15.0,28.6,28.6,28.6,50.0
76,Location 1,Part 1,11/11/2015 23:51,11/18/2015 12:17:10 PM,8,SN1,Post Strip Weight,Pass,15.0,19.0,19.0,19.0,50.0
77,Location 1,Part 1,11/11/2015 23:51,11/18/2015 12:17:10 PM,8,SN1,CDI - Flatness,Pass,0.0,0.002,0.002,0.002,0.002
