Location Name,Customer Name,Ship To Name,Part Name,PO Number,Job Number,OEM Number,Customer Part Number,Received Date,Kitting Boxing Date,Job Status Code,Work Order Status,Job Status,Barcode,CycleCount,Serial Number,Parameter,DC_Status,Lower Limit,Measurement MIN,Measurement MAX,Measurement AVG,Upper Limit,DMR ID,Tag,DMR Opened Date,DMR Closed Date,DMR Problem Description,DMR Problem Details,DMR Resolution Category,DMR Resolution Details,Customer ID,Historical Cycle Count,Kit Number,Measurement Count,Measurement Total,Normalize Statistics,PF Created Date,PF last updated date,Process Flow ID,PS Cycle Count,Ship to Customer,Work Order Status ID,WP Customer Part Number,WP Part ID
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,CDI - Flatness,Pass,0,0.0009,0.0009,0.0009,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6316,17.6316,17.6316,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3454,0.3454,0.3454,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1384,0.1384,0.1384,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.5822,0.5822,0.5822,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,Surface Roughness- Post Blast,Pass,200,249.9,260.3,256.1,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,74.6,115.5,92.55,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,12/23/2014,1/15/2015 ,,,,,1,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,Incoming Weight,Pass,15,30.4,30.4,30.4,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,Post Strip Weight,Pass,15,19.8,19.8,19.8,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,CDI - Flatness,Pass,0,0.001,0.001,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.632,17.632,17.632,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3452,0.3452,0.3452,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1393,0.1393,0.1393,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,CDI - Miscellaneous- Distance,Pass,0.572,0.583,0.583,0.583,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,Surface Roughness- Post Blast,Pass,200,237.3,253.6,245.525,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,Inner Honey Comb Ra (L1 - L6),Pass,0,52,127,75,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,02/10/2015,2/23/2015,,,,,2,SN01,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,5/26/2015,06/03/2015,,,,,3,SN01,Incoming Weight,Pass,15,30,30,30,50,,,,,,,,,,,,,,,,,,,,,,
